credit_lines_outstanding,loan_amt_outstanding,total_debt_outstanding,income,years_employed,fico_score,PD,Expected_Loss,Actual_Default
2,3584.844437,7708.784716,72005.83951,8,593,2.3728911752933823e-13,7.655801156421187e-10,0
3,5821.006507,16345.02539,80431.47019,6,634,0.0011027385775039368,5.777143591653306,0
5,5343.193215,30614.60303,86303.95374,4,607,0.9999999999999933,4808.873893499968,1
0,1468.268561,1369.352513,28621.64224,5,621,8.043912731949711e-15,1.0629561754574445e-11,0
1,3519.975193,9027.320474,69844.46479,6,650,8.099060256021483e-14,2.565764206902707e-10,0
0,3333.343428,1862.930111,40744.98376,5,628,6.648508652710378e-16,1.9945586361161946e-12,0
0,4795.717975,7512.313541,73335.88904,2,676,1.2329130554493114e-13,5.32143297146739e-10,0
1,2478.230792,7149.703382,58324.23479,5,710,2.824737433131126e-13,6.300316157490538e-10,0
4,4769.444861,16026.53486,60136.66093,3,628,0.9999995622514097,4292.4984958640125,1
0,5587.896567,6187.078156,93643.05616,3,547,2.0960312885288987e-16,1.0541165437345697e-12,0
5,1744.370198,10607.09416,43484.87048,5,626,0.9999962001154051,1569.9272126351013,1
0,2485.204725,3922.913272,42883.02996,3,649,5.810449937885526e-13,1.299614187600816e-09,0
2,5468.074456,14993.25864,87151.02886,3,638,4.41230619259875e-05,0.2171413690541986,0
4,5772.302578,22729.12042,82036.95441,1,599,0.9999999999736007,5195.072320062854,1
1,4517.20243,5625.594402,71562.6142,6,588,4.892106361380949e-15,1.9888771269103635e-11,0
4,1759.838321,7072.338819,29580.92988,3,549,0.9999973051646174,1583.8502206728824,1
1,4321.062798,9691.478715,80291.2004,6,695,2.385673364158036e-15,9.277779979838515e-12,0
1,1959.916014,3383.027699,41784.10066,7,624,1.3146439961914384e-14,2.3189326387600997e-11,0
5,4865.729425,22112.03771,81051.84086,3,625,0.9999999999669553,4379.156482355293,1
0,2998.959029,5899.35035,62249.07973,3,654,2.2366039975197674e-14,6.03673537739346e-11,0
0,2681.677402,3138.692699,45400.1967,4,649,5.594243994626076e-15,1.350176193149666e-11,0
0,5044.166344,5800.245184,77181.95563,4,634,5.3201759492064454e-17,2.415226722043087e-13,0
5,4630.830673,23908.65075,69521.02991,4,554,0.9999999999998921,4167.747605699551,1
0,2725.148417,2968.733902,51121.15422,5,654,3.663746695725682e-17,8.985828157331241e-14,0
1,2274.141811,4063.238206,41205.5489,5,598,3.3034809370675044e-11,6.761325708744005e-08,0
0,2801.049253,2502.680548,33367.84073,3,565,3.22683786271469e-11,8.13467860641819e-08,0
1,4727.868166,7231.952443,76459.25915,5,605,1.0593739760317179e-13,4.507722447452286e-10,0
1,4616.920429,8046.310323,58735.81653,5,741,8.619743037380688e-13,3.581700094981207e-09,0
0,4377.010944,571.1217051,57112.17051,6,731,1.6918739705677938e-21,6.664815796539571e-18,0
1,4957.972257,13628.81998,113013.2021,3,558,1.3765556576434507e-11,6.142432284731358e-08,0
5,3838.979905,17987.11053,69364.65894,6,523,0.9999999315443142,3455.0816779799984,1
5,7715.114663,34023.17952,125697.8937,4,506,0.9999999999998552,6943.603196698995,1
1,8392.481654,10993.93988,118281.7839,6,668,1.5488104367778421e-18,1.169852685856359e-14,0
2,3817.248292,9856.756308,68364.91542,4,634,3.5044804204067416e-07,0.001203972470923057,0
0,3260.725933,3749.09663,53740.64033,4,651,1.1640383687350238e-15,3.416049086347178e-12,0
0,3728.901313,4299.026874,75759.76725,6,693,2.482441015685274e-21,8.331099806550483e-18,0
0,1110.342822,1803.816589,16981.19772,1,548,4.838723967863426e-07,0.0004835378182820862,0
0,3175.865888,3578.399513,48466.67143,4,685,1.465477237695355e-15,4.188743251953431e-12,0
1,5352.814411,6889.040994,90662.16381,5,670,1.0423558578473162e-16,5.021583711547844e-13,0
1,4105.446169,4035.095738,68534.83497,7,603,3.883775036644768e-17,1.4350166410905988e-13,0
3,1491.583482,4895.885374,26231.9266,5,671,0.0015753079511435719,2.1147329870901133,0
0,2979.485594,5964.402963,60680.19975,4,673,1.2497588148719776e-15,3.3512745463970136e-12,0
0,4098.765063,4634.080257,71973.78468,4,644,2.3796000780782608e-17,8.778079497545323e-14,0
3,5142.889439,16197.48193,85177.80569,5,589,0.011007331279300703,50.94853900910095,0
2,4714.701298,9889.826605,67234.68571,3,535,0.00039826114903941244,1.6899141206871804,0
5,4296.127286,22541.026,74379.07589,2,607,0.9999999999999087,3866.5145573996474,1
5,4038.365042,25002.75422,80812.96933,3,612,0.9999999999995288,3634.5285377982877,1
0,3225.743051,4132.913997,53375.44583,3,609,1.5626007961913325e-13,4.536493793821132e-10,0
5,4002.999097,15325.06915,51360.0408,2,579,0.9999999999992006,3602.69918729712,1
0,6661.449574,11659.96827,95454.97579,2,577,2.9301203459295523e-12,1.7566964037145035e-08,0
0,3233.243935,4247.77165,49765.05659,3,569,2.2820312547933194e-12,6.6405273426368456e-09,0
1,5462.966475,9043.461742,70012.79316,3,610,3.6667538674364197e-09,1.802821810489358e-05,0
0,5223.866214,6999.359634,76953.09446,5,634,2.0639786337109447e-17,9.703753425954436e-14,0
0,2392.428662,1826.212803,46237.15828,5,651,3.197684651965874e-17,6.885209172060586e-14,0
2,4643.097754,12941.76494,73160.52938,2,558,0.03368955369192436,140.78150197221277,0
0,5004.13825,7362.970783,74333.66302,2,699,3.6543827079419695e-14,1.645833266005589e-10,0
5,2761.211689,14467.01803,52818.65598,3,611,0.9999999996082058,2485.0905191263564,1
0,3981.993745,6915.579336,77012.90471,3,631,3.075238948381596e-15,1.1021024031152305e-11,0
3,3844.12247,11918.96761,72039.0278,6,740,2.970733243768314e-07,0.0010277876173271187,0
1,3916.806519,6122.666804,79467.80342,7,653,3.923296323201516e-18,1.3830113353215987e-14,0
0,4815.121256,4611.124642,83880.77718,3,538,4.615799079328924e-16,2.000306903427174e-12,0
1,2660.891284,6078.203383,47549.56447,5,780,1.8762887753443062e-13,4.4933404037226286e-10,0
5,5593.882059,32487.73064,89578.59763,2,560,1.0,5034.4938531,1
0,6679.103143,3956.076166,86598.94627,6,678,3.3341773137487717e-22,2.0042382758020847e-18,0
0,2506.930928,4727.998412,61656.33872,4,699,5.1450937473244476e-17,1.1608555178364368e-13,0
5,4328.238888,14742.82055,50924.58683,2,578,0.9999999999986784,3895.414999194852,1
0,2067.104101,3007.940572,32723.27199,3,639,4.575388411867208e-12,8.512023734854724e-09,0
1,4105.254407,7235.1984,74186.23739,6,563,4.0785285315043043e-14,1.5069057505229958e-10,0
1,2104.140314,6226.890358,52439.24226,4,492,1.1772695169891853e-08,2.2294262260262278e-05,0
5,4851.063484,24022.9064,88453.08155,2,597,0.9999999999994755,4365.9571355977105,1
0,3963.434859,5525.64721,81102.18414,5,579,2.4087866180811464e-18,8.592361964995983e-15,0
0,2710.632661,3783.19632,52043.13762,3,516,2.7120233103183058e-12,6.616169066107924e-09,0
5,3845.516135,18188.03893,75952.95813,6,532,0.9999994346906376,3460.962564984353,1
5,3866.281408,18646.69017,60098.93451,1,533,0.9999999999999984,3479.6532671999944,1
1,5842.526554,6373.955421,83393.50296,7,620,1.2535101747770879e-17,6.591299833659885e-14,0
0,6058.666417,10194.79275,112514.6218,4,604,1.699846106435822e-18,9.268920467217831e-15,0
1,2446.097485,7183.995268,80567.92418,6,608,4.841254888695511e-16,1.065796326673384e-12,0
0,4735.745719,4688.827906,71313.50616,2,590,7.633319342832104e-14,3.2534513459619323e-10,0
2,4402.456355,12438.80583,74845.40446,3,530,0.0013770356301796086,5.456105335031083,0
0,3637.849528,649.538317,64953.8317,5,708,4.033846125562249e-21,1.320707270151113e-17,0
5,5138.616268,20154.01258,75268.40418,6,626,0.9999996334871526,4624.752946168008,1
2,4550.634135,11307.69502,92583.00574,7,743,9.252498289568435e-15,3.789426109548531e-11,0
0,5874.878723,5554.568362,106104.9775,3,561,1.1516133508594391e-18,6.089029894878167e-15,0
2,2842.029989,8783.739171,62339.38677,8,611,9.000212570713626e-12,2.3020986630008618e-08,0
1,6840.974508,9586.743224,97405.88042,6,672,6.552103792705687e-17,4.034049751770275e-13,0
1,4102.243668,10669.64943,97414.27582,5,650,2.92778522431498e-15,1.0809439557939078e-11,0
1,4723.623119,9037.060925,78749.64334,4,561,5.055117822948876e-11,2.1490624275975235e-07,0
5,5170.471797,28517.51101,90922.30181,5,695,0.9999999997851114,4653.4246163000325,1
5,6003.028525,28663.62364,81645.21819,1,678,1.0,5402.7256725,1
4,4852.076967,17144.01767,67333.24863,1,572,0.9999999995571873,4366.869268366295,1
0,3048.283981,2485.16148,52151.03477,4,708,4.091268103943063e-17,1.1224212320903294e-13,0
0,2289.989407,4161.991293,83721.23153,7,785,2.1036629423472106e-25,4.3356292684862075e-22,0
1,3666.24035,9844.172883,72003.52767,5,708,3.2408893514662176e-13,1.0693691379207702e-09,0
0,6852.975449,7622.082789,94235.72615,4,618,1.3054167919821773e-17,8.051390303549581e-14,0
5,2546.073189,16853.50996,64556.41723,4,602,0.9999999926147012,2291.46585317684,1
1,3607.485487,6992.959064,60840.94718,4,561,4.738761347253279e-10,1.5385511507915493e-06,0
5,7193.906861,29189.99564,102751.036,3,494,0.9999999999999951,6474.516174899969,1
1,3352.22773,5460.534157,53420.44931,5,740,6.566981621352344e-14,1.9812616104147917e-10,0
0,4616.03664,4229.853619,89487.00372,6,661,1.3085708789255033e-22,5.436370010841415e-19,0
4,2599.448792,9127.453917,34661.90304,1,591,0.9999999927824974,2339.5038959146245,1
0,1498.439318,1755.967209,26611.80735,5,664,6.179551522670874e-15,8.333714672259124e-12,0
0,3247.647411,3671.287541,52360.15017,4,648,1.7784336567873436e-15,5.198152914990611e-12,0
3,2921.06412,10396.04201,49448.97243,5,551,0.23267427704119184,611.6908340807687,0
3,3015.345442,12606.52971,64975.23999,4,654,0.025905314348580687,70.30212439011298,0
5,5721.958104,22751.67693,83585.12781,4,555,0.9999999999698597,5149.7622934447845,1
1,5010.67959,8599.837895,79817.77243,6,630,7.480734437477477e-15,3.3735207027670675e-11,0
0,3299.467293,4341.837971,56809.87853,5,604,3.100761351328022e-16,9.207774595894761e-13,0
1,4637.119343,6297.058769,76539.22217,6,553,9.186549598396149e-15,3.83392141543365e-11,0
